City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
260,Concepcion Del Oro,24.6333,-101.4167,71.38,5,11,17.67,MX,2022-03-11 23:15:23,few clouds
261,Terrace,54.5163,-128.6035,40.91,93,100,16.11,CA,2022-03-11 23:15:24,overcast clouds
262,Rozkishne,48.5074,39.3004,17.24,81,99,11.39,UA,2022-03-11 23:15:24,overcast clouds
263,Pundaguitan,6.3711,126.1689,82.56,76,100,7.99,PH,2022-03-11 23:15:25,overcast clouds
264,Lasa,46.6166,10.7002,35.37,98,100,4.16,IT,2022-03-11 23:15:25,overcast clouds
265,Mersing,2.4312,103.8405,78.71,83,37,5.75,MY,2022-03-11 23:15:25,scattered clouds
266,Guarapari,-20.6667,-40.4975,79.9,85,31,11.34,BR,2022-03-11 23:15:26,scattered clouds
267,Itoman,26.1247,127.6694,66.97,72,20,6.91,JP,2022-03-11 23:15:26,few clouds
268,Kupang,-10.1667,123.5833,78.48,83,56,5.46,ID,2022-03-11 23:15:27,broken clouds
269,Longwy,49.5194,5.7688,49.6,74,100,5.99,FR,2022-03-11 23:16:27,overcast clouds
270,Cidreira,-30.1811,-50.2056,69.84,78,100,13.69,BR,2022-03-11 23:15:37,overcast clouds
271,Gat,31.61,34.7642,49.08,100,100,11.95,IL,2022-03-11 23:12:05,overcast clouds
272,Mahebourg,-20.4081,57.7,77.29,94,75,5.75,MU,2022-03-11 23:16:28,broken clouds
273,Bandarbeyla,9.4942,50.8122,76.03,73,90,9.6,SO,2022-03-11 23:16:28,overcast clouds
274,Port Hedland,-20.3167,118.5667,82.45,57,4,6.91,AU,2022-03-11 23:16:29,clear sky
275,Kaabong,3.4836,34.1492,70.14,49,80,8.3,UG,2022-03-11 23:16:29,broken clouds
276,Neiafu,-18.65,-173.9833,84.88,79,75,10.36,TO,2022-03-11 23:16:30,broken clouds
277,Eureka,40.8021,-124.1637,65.12,66,13,7.0,US,2022-03-11 23:15:53,few clouds
278,Kitgum,3.2783,32.8867,76.17,42,70,5.68,UG,2022-03-11 23:16:30,broken clouds
279,Mecca,21.4267,39.8261,67.23,56,0,6.64,SA,2022-03-11 23:16:31,clear sky
280,Carballo,43.213,-8.691,46.51,86,50,5.61,ES,2022-03-11 23:12:48,scattered clouds
281,Hambantota,6.1241,81.1185,77.58,83,31,4.61,LK,2022-03-11 23:16:31,scattered clouds
282,Wagar,16.1525,36.2032,70.57,66,28,14.81,SD,2022-03-11 23:16:32,scattered clouds
283,Aklavik,68.2191,-135.0107,-1.59,89,100,4.27,CA,2022-03-11 23:16:32,overcast clouds
284,Amot,59.5714,7.9877,18.77,97,95,3.31,NO,2022-03-11 23:16:33,overcast clouds
285,Erzin,36.9559,36.2,34.84,69,36,4.99,TR,2022-03-11 23:16:33,scattered clouds
286,Oktyabrskoye,43.0645,44.7417,24.94,86,100,2.24,RU,2022-03-11 23:16:33,light snow
287,Dhangadhi,28.7079,80.5961,61.95,44,0,3.0,NP,2022-03-11 23:16:34,clear sky
288,Paamiut,61.994,-49.6678,1.94,95,94,17.43,GL,2022-03-11 23:16:34,overcast clouds
289,Anadyr,64.75,177.4833,4.12,73,0,2.37,RU,2022-03-11 23:16:35,clear sky
290,Waingapu,-9.6567,120.2641,79.86,85,44,4.29,ID,2022-03-11 23:16:35,scattered clouds
291,Kholmogory,64.2229,41.656,23.32,98,100,3.67,RU,2022-03-11 23:16:36,overcast clouds
292,Hobyo,5.3505,48.5268,77.25,69,92,12.91,SO,2022-03-11 23:16:36,overcast clouds
293,Port Shepstone,-30.7414,30.455,73.17,87,4,13.38,ZA,2022-03-11 23:16:36,clear sky
294,Alzey,49.7517,8.1161,46.08,33,100,2.82,DE,2022-03-11 23:16:37,overcast clouds
295,Sourpi,39.1,22.9,36.46,74,20,0.0,GR,2022-03-11 23:16:37,few clouds
296,Morrope,-6.5417,-80.0111,75.31,62,12,16.67,PE,2022-03-11 23:16:38,few clouds
297,Bathsheba,13.2167,-59.5167,79.41,69,20,19.57,BB,2022-03-11 23:11:39,few clouds
298,Los Llanos De Aridane,28.6585,-17.9182,59.13,92,0,8.05,ES,2022-03-11 23:16:38,clear sky
299,Beyneu,45.3167,55.2,40.19,81,100,12.97,KZ,2022-03-11 23:16:39,overcast clouds
300,Liling,27.6667,113.5,64.56,82,60,3.51,CN,2022-03-11 23:16:39,broken clouds
301,Sandnessjoen,66.0217,12.6316,44.65,69,2,5.01,NO,2022-03-11 23:16:40,clear sky
302,Altamont,42.2068,-121.7372,60.64,12,0,0.0,US,2022-03-11 23:16:40,clear sky
303,Natal,-5.795,-35.2094,81.25,78,20,10.36,BR,2022-03-11 23:12:31,few clouds
304,Yulara,-25.2406,130.9889,75.04,23,0,12.66,AU,2022-03-11 23:16:40,clear sky
305,Lagunas,-5.2269,-75.6753,78.22,88,53,1.99,PE,2022-03-11 23:16:41,broken clouds
306,Lompoc,34.6391,-120.4579,74.7,21,0,13.8,US,2022-03-11 23:16:41,clear sky
307,Oga,46.4631,10.347,29.8,95,100,6.08,IT,2022-03-11 23:16:42,overcast clouds
308,Klaksvik,62.2266,-6.589,45.52,92,100,39.97,FO,2022-03-11 23:16:42,overcast clouds
309,San Juan De Los Lagos,21.25,-102.3,80.56,8,0,19.28,MX,2022-03-11 23:16:43,clear sky
310,Kangaatsiaq,68.3065,-53.4641,-10.07,99,100,6.26,GL,2022-03-11 23:16:43,overcast clouds
311,Sambava,-14.2667,50.1667,74.95,92,100,5.66,MG,2022-03-11 23:16:43,light rain
312,Tiksi,71.6872,128.8694,-11.52,93,100,7.85,RU,2022-03-11 23:16:44,overcast clouds
313,Joshimath,30.5667,79.5667,42.87,32,0,12.33,IN,2022-03-11 23:16:44,clear sky
