City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
116,Ca Mau,VN,76.62,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
117,Santa Vitoria Do Palmar,BR,64.54,broken clouds,-33.5189,-53.3681,Hostel Comodoro
118,Nanakuli,US,87.75,few clouds,21.3906,-158.1547,Camp Pālehua
119,Motozintla,MX,70.34,broken clouds,15.3667,-92.2333,Hotel Maya
121,Naliya,IN,77.59,clear sky,23.2667,68.8333,jadeja jayendrasinh
122,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
124,Tokonou,GN,81.32,overcast clouds,9.65,-9.7833,املاك خالد الشعشوع
125,New Norfolk,AU,65.91,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
127,East London,ZA,74.14,few clouds,-33.0153,27.9116,Tu Casa
128,Faya,SA,57.72,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
129,Matiguas,NI,88.99,few clouds,12.8373,-85.4622,Hotel Bethel
133,Celestun,MX,82.2,clear sky,20.8667,-90.4,Posada Lilia
135,Kavaratti,IN,81.55,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
136,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
137,Airai,TL,63.82,overcast clouds,-8.9266,125.4092,املاك خالد الشعشوع
139,Richards Bay,ZA,72.46,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
143,Mizdah,LY,50.59,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
144,Bengkulu,ID,75.15,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
145,Labuhan,ID,78.17,light rain,-6.8844,112.2051,DoubleFAG
146,Ponta Do Sol,PT,62.06,overcast clouds,32.6667,-17.1,Hotel do Campo
147,Ribeira Grande,PT,59.92,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
149,Chokwe,MZ,72.43,light rain,-24.5333,32.9833,Complexo Sonho Real
150,Sorong,ID,79.75,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
151,Marsh Harbour,BS,76.62,clear sky,26.5412,-77.0636,Abaco Beach Resort
152,Lazaro Cardenas,MX,81.23,overcast clouds,17.9583,-102.2,quinta antigua
153,Dingle,PH,77.59,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
154,Victoria,HK,72.18,clear sky,22.2855,114.1577,Mini Hotel Central
156,Fez,MA,53.85,broken clouds,34.0372,-4.9998,Hotel Mounia Fès
157,Alofi,NU,81.7,light rain,-19.0595,-169.9187,Taloa Heights
